,classification_id,user_id,workflow_id,annotations,subject_ids
305,388751804,2394958,20494,"slightly extended, isolated, clear counterpart",71287158
306,388751872,2394958,20494,"bright, probable lobe, complex, extended, associated with adjacent component, ambiguous counterpart",71287217
307,388751897,2394958,20494,"isolated, slightly extended, no counterpart",71287222
308,388751914,2394958,20494,"isolated, slightly extended, clear counterpart",71287232
309,388751935,2394958,20494,"lobe of double lobe system, lobe, associated with adjacent component, no counterpart",71287015
310,388751981,2394958,20494,"complex, extended, lobe, probable lobe of double lobe system, ambiguous counterpart",71287216
311,388752004,2394958,20494,"complex, extended, clear counterpart, large irregular galaxy",71287078
312,388752015,2394958,20494,"extended, isolated, clear counterpart",71287204
313,388752026,2394958,20494,"complex, isolated, clear counterpart",71287151
314,388752032,2394958,20494,"compact, isolated, no counterpart",71287065
315,388752047,2394958,20494,"lobe, lobe of double lobe system, associated with adjacent component, no counterpart",71287073
316,388752053,2394958,20494,"compact, isolated, no counterpart",71287127
317,388752068,2394958,20494,"faint, noisy, isolated, slightly extended, no counterpart",71287205
318,388752086,2394958,20494,"extended, isolated, clear counterpart",71287074
319,388752108,2394958,20494,"extended, complex, possible association with adjacent component, no counterpart",71287144
320,388752156,2394958,20494,"faint, noisy, probable association with adjacent component, ambiguous counterpart",71287177
321,388752182,2394958,20494,"compact, isolated, faint counterpart",71287245
322,389313492,2395292,20494,"extended, blob, diffuse, asymmetrical ",71287054
323,389313634,2395292,20494,"compact, slightly extended",71287273
324,389313699,2395292,20494,"multiple sources, extended",71287163
325,389313747,2395292,20494,spiral galaxy,71287264
326,389313791,2395292,20494,"double source, extended, unclear host",71287169
327,389313864,2395292,20494,"extended source, asymmetrical, unclear host",71287198
328,389315521,2395292,20494,"double source, unclear host, asymmetric",71287013
329,389315572,2395292,20494,"extended source, diffuse emmission ",71287053
330,389315697,2395292,20494,"extended source, obvious host",71287147
331,389315737,2395292,20494,"extended source, diffuse emission, irregular ",71287275
332,390377429,2395292,20494,"double source, extended",71287156
333,390377845,2395292,20494,"extended source, diffuse",71287133
334,390378059,2395292,20494,"blobby, extended",71287278
335,390378104,2395292,20494,"blobby, diffuse",71287170
336,390378394,2395292,20494,"blobby, diffuse",71287098
337,390378440,2395292,20494,"compact, faint",71287172
338,390378568,2395292,20494,"two lobes, core, hotspots",71287271
339,390379042,2395292,20494,"double source, slightly extended",71287257
340,390379083,2395292,20494,"faint, diffuse, elongated",71287291
341,390379111,2395292,20494,"faint, compact",71287150
342,390379828,2395292,20494,"double source, compact",71287107
343,390379941,2395292,20494,"bright, blob",71287124
344,390380037,2395292,20494,"triple source, bright",71287227
345,390380366,2395292,20494,"edge, extended, diffuse",71287110
346,390794997,2395292,20494,"extended, irregular, triple source",71287131
347,390795383,2395292,20494,"faint, triple source",71287062
348,390795463,2395292,20494,irregular,71287167
349,390795544,2395292,20494,"blobby, compact, spiral galaxy",71287231
350,390796008,2395292,20494,"faint, small, irregular",71287243
351,390807577,2395292,20494,"faint, V shape",71287085
352,390808632,2395292,20494,"blob, slightly asymmetric, ",71287031
