,subject_ids,amorphous,asymmetric brightness,asymmetric structure,bent,bridge,compact,core,diffuse,double,edge brightened,extended,faint,host,hourglass,jet,lobe,merger,peak,plume,small,tail,traces host galaxy,coordinates
86,71287084,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,J203259-553804
87,71287085,0,0,0,1,0,0,0,0,0,0,3,4,3,0,0,0,0,1,0,1,1,0,J203316-544811
88,71287086,1,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,J203334-543122
89,71287087,0,0,1,2,1,0,1,1,3,0,1,2,3,0,0,0,0,0,0,1,0,0,J203355-564848
90,71287088,0,1,1,1,1,2,0,0,2,0,2,1,1,1,1,0,0,1,0,0,0,0,J203358-565354
91,71287089,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,2,J203402-525850
92,71287090,0,0,0,0,0,1,1,2,3,2,3,0,2,0,0,0,0,2,0,0,2,0,J203407-525429
93,71287091,0,1,0,0,0,0,0,0,1,2,1,0,3,0,0,0,0,1,0,0,1,0,J203407-570746
94,71287092,0,0,0,3,0,0,0,0,0,0,2,0,3,0,1,0,0,0,1,1,1,0,J203408-554608
95,71287093,0,0,0,0,1,1,0,0,4,1,3,1,2,0,0,0,0,4,0,0,0,0,J203409-525301
96,71287094,0,0,1,0,0,2,1,0,0,0,0,2,4,0,0,0,0,0,0,0,1,1,J203413-540130
97,71287095,0,1,1,2,0,0,0,1,1,0,1,0,3,0,0,0,0,2,0,0,1,0,J203418-554702
98,71287096,1,0,2,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,J203419-564951
99,71287097,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,0,0,1,0,2,0,0,J203428-565633
100,71287098,1,0,0,0,0,1,0,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,J203449-541239
101,71287099,0,0,0,0,0,1,0,0,2,0,0,4,2,0,0,0,0,2,0,0,0,0,J203449-555429
102,71287100,0,1,1,0,0,1,0,0,2,2,3,1,1,1,0,0,0,0,0,0,0,0,J203454-550038
103,71287101,0,0,1,2,0,1,0,1,3,0,2,0,3,0,0,0,0,0,0,1,1,0,J203457-560318
104,71287102,0,0,1,0,1,0,0,0,4,2,5,1,2,1,0,1,0,1,0,0,0,1,J203500-550100
105,71287103,2,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,0,1,0,0,J203507-530038
106,71287104,0,0,1,0,0,0,0,1,6,0,1,0,1,1,0,0,0,1,0,1,0,1,J203525-564950
107,71287105,0,0,1,4,1,0,0,1,2,2,1,0,2,0,2,0,0,3,0,0,1,0,J203525-574951
108,71287106,0,0,0,0,0,1,1,3,1,0,4,0,2,0,2,0,0,0,0,0,0,0,J203529-525810
109,71287107,0,0,0,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,J203531-571542
110,71287108,1,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,J203533-572244
111,71287109,1,0,1,0,0,0,1,0,0,0,3,1,2,0,0,0,0,2,0,1,1,0,J203543-544231
